학번,기말고사
2021E0001,97.0
2021E0002,90.0
2023E0003,91.0
2022E0004,72.0
2022E0005,89.0
2022E0006,86.0
2021E0007,87.0
2021E0008,70.0
2024E0009,73.0
2021E0010,87.0
2021E0011,94.0
2021E0012,73.0
2022E0013,75.0
2022E0014,100.0
2021E0015,93.0
2022E0016,86.0
2024E0017,86.0
2022E0018,97.0
2024E0019,96.0
2023E0020,89.0
2021E0021,81.0
2022E0022,87.0
2024E0023,99.0
2023E0024,70.0
2023E0025,85.0
2022E0026,
2022E0027,98.0
2023E0028,95.0
2021E0029,71.0
2021E0030,88.0
2024E0031,72.0
2021E0032,96.0
2023E0033,94.0
2023E0034,74.0
2023E0035,85.0
2021E0036,75.0
2024E0037,97.0
