학번,중간고사
2021E0001,99.0
2021E0002,87.0
2023E0003,90.0
2022E0004,97.0
2022E0005,76.0
2022E0006,71.0
2021E0007,94.0
2021E0008,72.0
2024E0009,97.0
2021E0010,78.0
2021E0011,96.0
2021E0012,81.0
2022E0013,91.0
2022E0014,99.0
2021E0015,72.0
2022E0016,75.0
2024E0017,77.0
2022E0018,82.0
2024E0019,99.0
2023E0020,87.0
2021E0021,80.0
2022E0022,94.0
2024E0023,96.0
2023E0024,
2023E0025,78.0
2022E0026,99.0
2022E0027,98.0
2023E0028,76.0
2021E0029,82.0
2021E0030,90.0
2024E0031,78.0
2021E0032,93.0
2023E0033,78.0
2023E0034,83.0
2023E0035,82.0
2021E0036,74.0
2024E0037,72.0
